#,What age range do you have?,What is your gender?,Other,Where are you from?,Other.1,When did you join Remitano?,Buy Coins,Sell Coins,Withdraw coins,Deposit Coins,Swap,Invest,Read articles on Forum,Participate in minigame on Forum,Not using any of the above features,Used all,Have you know about Altcoins?,Name at least 1 Altcoin you have known 🧐,Altcoins,BTC,ETH,USDT,LTC,XRP,BCH,"If you could only choose 1 coin, which one would you invest? (choose only 1)","Because there are more risks (scam, fraud) than Bitcoin or top coin.",Because I got difficulty to own and store Altcoins.,Because of low liquidity.,Because I have a litte money.,Because I am lack of information about potential Altcoins.,Because the crypto exchange platforms I'm using don't have the Altcoins which I want to buy.,Because the budget of crypto market is very small in my portfolio.,Other.2,What will help you change your mind and be willing to invest Altcoin?,Why did you choose to invest Altcoins?,How many percentage of total budget are you going to invest in Altcoin? (type the number 0 - 100),What is your strategy in the altcoin investment ? (choose only 1),Other.3,Where do you store your altcoin? (choose only 1),Other.4,I got difficulties in owning and storing Altcoins.,The exchange is low liquidity.,I have low invest budget,I am lack of information about potential Altcoins.,The crypto exchange platforms I'm using don't have the Altcoins which I want to buy.,The budget of crypto market is very small in my portfolio.,"There are more risks (scam, fraud) than Bitcoin or top coin.",Other.5,Which is the most difficult thing? (choose 1),Other.6,"Name the most potential Altcoins you can't miss, you should invest now.",How did you buy Altcoins?,What is the most difficult thing about buying Altcoins?,"If you have Altcoin, how did you sell Altcoins?",What is the most difficult thing about selling Altcoin?,"In your opinion, what should Remitano do to help you trade Altcoins easily?","I can buy/sell all Altcoins at ""P2P exchange"".","I can ""Swap"" from BTC / ETH / UST to all Altcoins and vice versa.","I can ""Swap"" from my fiat-currency to all Altcoins and vice versa.","I can ""Invest"" in all Altcoins.","I can store and deposit/withdraw all altcoins in ""Remitano wallet"".",I can add my new Altcoin (which I create) on Remitano system.,"I can buy/sell all Altcoins at ""P2P exchange""..1","I can ""Swap"" from BTC / ETH / UST to all Altcoins and vice versa..1","I can ""Swap"" from my fiat-currency to all Altcoins and vice versa..1","I can ""Invest"" in all Altcoins..1","I can store and deposit/withdraw all altcoins in ""Remitano wallet""..1",I can add my new Altcoin (which I create) on Remitano system..1,"If there is only 1 vote, which one do you prefer?",Coinbas và Coinbase Pro,Bittrex,Changelly,Binance,Kraken,BitMEX,KuCoin,Huobi Pro,Bitpanda,Remitano,Other.7,Why did you choose this crypto exchange?,Start Date (UTC),Submit Date (UTC),Network ID,country,crypto exchange
6w46ukq2s3q0hg17q06w46ukqyj8cz6a,> 40,Male,,Malaysia,,2019,1,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,3/8/20 1:58,3/8/20 2:01,6f23d6341c,Malaysia,0
aon05iax15oiaocz08iyq9m6nw0bx0cz,> 40,Male,,Malaysia,,2017,1,1,1,1,0,0,0,0,0,0,Yes,Tron (TRX),0,1,0,0,0,0,0,One of Altcoins I like,0,0,0,0,0,0,1,0,Daily ROI Investment,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,Provide Trading Chart And Indicators,1,0,0,0,0,0,10,0,10,0,10,10,I can add my new Altcoin (which I create) on Remitano system.,0,0,0,0,0,0,0,0,0,0,0,,15/7/20 4:17,15/7/20 4:25,6a0087bdf7,Malaysia,0
rd4384zwi4f8qdc8zpkgrd4384zwsiqw,31 - 40,Male,,Malaysia,,2017,1,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,3/7/20 23:21,3/7/20 23:24,58162a427b,Malaysia,0
5v23ormjjk7517pdic95v23r0v2l61l2,< 18,Male,,India,,2020,0,0,0,0,0,0,0,1,0,0,No,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,26/6/20 14:32,26/6/20 14:33,368d15a9d1,India,0
1i9bju4z8s2gxicftve1i9bcwwsjzd6r,18 - 25,Male,,India,,2020,0,0,0,0,0,0,0,1,0,0,No,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,26/6/20 14:31,26/6/20 14:32,368d15a9d1,India,0
fj26zs7e2g005x4ebx5rsbfj26zs7e2w,> 40,Female,,Malaysia,,2019,1,1,1,0,0,0,0,0,0,1,No,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,22/6/20 4:09,22/6/20 4:11,dd83462bc1,Malaysia,0
drpcbt8yoau848e8x1kkdrpcpgdmxogi,26 - 30,Male,,Nigeria,,2017,0,1,0,1,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,7/6/20 8:30,7/6/20 8:33,ad6430ac6a,Nigeria,0
1t2d1tg1kdi0v9dkq8k1t2d1tgdhcmq3,18 - 25,Male,,Nigeria,,2019,0,0,1,0,0,1,1,1,0,0,Yes,EOs,0,0,1,1,0,0,1,ETH,0,0,1,0,0,0,0,0,If I can generate enough income for myself,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,Free for beginners,0,0,0,0,1,0,10,10,10,10,10,8,"I can store and deposit/withdraw all altcoins in ""Remitano wallet"".",0,0,0,0,0,0,0,0,0,0,0,,30/5/20 0:05,30/5/20 0:09,50b56ea848,Nigeria,0
7zedsyxep1otzxcp87ze3areq0mcfudr,18 - 25,Male,,Nigeria,,2019,0,0,1,0,0,0,0,1,0,0,Yes,Tron(TRX),0,1,1,1,0,0,0,ETH,0,1,0,1,1,0,0,0,To know the market value,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,Make it easy for us the amature to understand it.,0,0,0,0,1,0,8,10,10,10,10,10,"I can store and deposit/withdraw all altcoins in ""Remitano wallet"".",0,0,0,0,0,0,0,0,0,0,0,,27/5/20 11:39,27/5/20 11:47,e82df98357,Nigeria,0
1s6g8kazke17kwi1uf151s6g8xsp3jid,18 - 25,Male,,Nigeria,,2020,0,1,0,0,0,0,0,0,0,0,Yes,Buying bitcoin,0,1,0,0,0,0,0,BTC,0,0,0,1,0,0,0,0,Investment plan,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,Fast in payment,1,0,0,0,0,0,1,5,3,2,8,0,"I can buy/sell all Altcoins at ""P2P exchange"".",0,0,0,0,0,0,0,0,0,0,0,,25/5/20 12:17,25/5/20 12:21,9d1c956fbd,Nigeria,0
